"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;7,89430411115902e-07;6;83;4;0,0481927710843374;0,666666666666667;"GO:0016602";"GO:CC";"CCAAT-binding factor complex";22122;767;"Brain_-_Amygdala_male_7_community"
"2";"query_1";TRUE;0,0448504384922653;72;83;4;0,0481927710843374;0,0555555555555556;"GO:0035869";"GO:CC";"ciliary transition zone";22122;1659;"Brain_-_Amygdala_male_7_community"
"3";"query_1";TRUE;0,000404163135192362;7048;53;49;0,924528301886792;0,00695232690124858;"HPA:0160000";"HPA";"endometrium 1";11006;306;"Brain_-_Amygdala_male_7_community"
"4";"query_1";TRUE;0,00059152081797769;6811;53;48;0,905660377358491;0,00704742328586111;"HPA:0160051";"HPA";"endometrium 1; glandular cells[≥Low]";11006;310;"Brain_-_Amygdala_male_7_community"
"5";"query_1";TRUE;0,00797925814400146;6714;53;46;0,867924528301887;0,00685135537682455;"HPA:0170051";"HPA";"endometrium 2; glandular cells[≥Low]";11006;317;"Brain_-_Amygdala_male_7_community"
"6";"query_1";TRUE;0,0176357165853846;7421;53;48;0,905660377358491;0,00646813097965234;"HPA:0060000";"HPA";"bronchus";11006;64;"Brain_-_Amygdala_male_7_community"
"7";"query_1";TRUE;0,0206965922186854;4572;53;36;0,679245283018868;0,0078740157480315;"HPA:0080121";"HPA";"caudate; glial cells[≥Low]";11006;91;"Brain_-_Amygdala_male_7_community"
"8";"query_1";TRUE;0,0212425359074101;7457;53;48;0,905660377358491;0,00643690492155022;"HPA:0210000";"HPA";"fallopian tube";11006;341;"Brain_-_Amygdala_male_7_community"
"9";"query_1";TRUE;0,0219480020724453;6908;53;46;0,867924528301887;0,00665894614939201;"HPA:0170000";"HPA";"endometrium 2";11006;313;"Brain_-_Amygdala_male_7_community"
"10";"query_1";TRUE;0,0348924909121511;4880;53;37;0,69811320754717;0,00758196721311475;"HPA:0170052";"HPA";"endometrium 2; glandular cells[≥Medium]";11006;318;"Brain_-_Amygdala_male_7_community"
"11";"query_1";TRUE;0,000553195862085682;69;33;5;0,151515151515152;0,072463768115942;"KEGG:04612";"KEGG";"Antigen processing and presentation";8161;316;"Brain_-_Amygdala_male_7_community"
"12";"query_1";TRUE;0,00124646577511474;27;43;4;0,0930232558139535;0,148148148148148;"REAC:R-HSA-380994";"REAC";"ATF4 activates genes in response to endoplasmic reticulum  stress";10790;32;"Brain_-_Amygdala_male_7_community"
"13";"query_1";TRUE;0,00169117986990236;9;43;3;0,0697674418604651;0,333333333333333;"REAC:R-HSA-381183";"REAC";"ATF6 (ATF6-alpha) activates chaperone genes";10790;33;"Brain_-_Amygdala_male_7_community"
"14";"query_1";TRUE;0,00251732692903294;32;43;4;0,0930232558139535;0,125;"REAC:R-HSA-381042";"REAC";"PERK regulates gene expression";10790;1576;"Brain_-_Amygdala_male_7_community"
"15";"query_1";TRUE;0,00330352202608898;11;43;3;0,0697674418604651;0,272727272727273;"REAC:R-HSA-381033";"REAC";"ATF6 (ATF6-alpha) activates chaperones";10790;34;"Brain_-_Amygdala_male_7_community"
"16";"query_1";TRUE;0,0110570827357681;16;43;3;0,0697674418604651;0,1875;"REAC:R-HSA-9614657";"REAC";"FOXO-mediated transcription of cell death genes";10790;879;"Brain_-_Amygdala_male_7_community"
"17";"query_1";TRUE;1,07296846915434e-30;2915;82;61;0,74390243902439;0,020926243567753;"TF:M12616";"TF";"Factor: HMGXB3; motif: NRGCCAATSRGNRNNS";20011;3474;"Brain_-_Amygdala_male_7_community"
