"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;1,45664602184739e-09;3128;90;42;0,466666666666667;0,0134271099744246;"GO:0048513";"GO:BP";"animal organ development";21110;13536;"Brain_-_Hypothalamus_female_4_community"
"2";"query_1";TRUE;5,56923803260768e-09;5493;90;55;0,611111111111111;0,0100127434917167;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21110;7510;"Brain_-_Hypothalamus_female_4_community"
"3";"query_1";TRUE;8,9119170510697e-09;2564;90;37;0,411111111111111;0,0144305772230889;"GO:0006357";"GO:BP";"regulation of transcription by RNA polymerase II";21110;2182;"Brain_-_Hypothalamus_female_4_community"
"4";"query_1";TRUE;2,05386206707459e-08;5662;90;55;0,611111111111111;0,00971388202048746;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21110;14316;"Brain_-_Hypothalamus_female_4_community"
"5";"query_1";TRUE;3,05149608864757e-08;1076;90;24;0,266666666666667;0,0223048327137546;"GO:0009887";"GO:BP";"animal organ morphogenesis";21110;3825;"Brain_-_Hypothalamus_female_4_community"
"6";"query_1";TRUE;3,25129410156455e-08;2677;90;37;0,411111111111111;0,0138214419125887;"GO:0006366";"GO:BP";"transcription by RNA polymerase II";21110;2189;"Brain_-_Hypothalamus_female_4_community"
"7";"query_1";TRUE;4,78625167576189e-08;2712;90;37;0,411111111111111;0,0136430678466077;"GO:0009653";"GO:BP";"anatomical structure morphogenesis";21110;3648;"Brain_-_Hypothalamus_female_4_community"
"8";"query_1";TRUE;7,44619390992023e-08;5836;90;55;0,611111111111111;0,00942426319396847;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21110;18790;"Brain_-_Hypothalamus_female_4_community"
"9";"query_1";TRUE;4,47708825075201e-07;481;90;16;0,177777777777778;0,0332640332640333;"GO:0007389";"GO:BP";"pattern specification process";21110;2960;"Brain_-_Hypothalamus_female_4_community"
"10";"query_1";TRUE;4,90220684122423e-07;4061;90;44;0,488888888888889;0,0108347697611426;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21110;5897;"Brain_-_Hypothalamus_female_4_community"
"11";"query_1";TRUE;5,02552233246678e-07;4064;90;44;0,488888888888889;0,0108267716535433;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21110;7513;"Brain_-_Hypothalamus_female_4_community"
"12";"query_1";TRUE;6,63221106746104e-07;179;90;11;0,122222222222222;0,0614525139664804;"GO:0021953";"GO:BP";"central nervous system neuron differentiation";21110;6868;"Brain_-_Hypothalamus_female_4_community"
"13";"query_1";TRUE;7,43179686229893e-07;3774;90;42;0,466666666666667;0,0111287758346582;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21110;14368;"Brain_-_Hypothalamus_female_4_community"
"14";"query_1";TRUE;7,95689528017799e-07;3455;90;40;0,444444444444444;0,0115774240231548;"GO:0006355";"GO:BP";"regulation of DNA-templated transcription";21110;2180;"Brain_-_Hypothalamus_female_4_community"
"15";"query_1";TRUE;8,09993409902308e-07;3457;90;40;0,444444444444444;0,0115707260630605;"GO:1903506";"GO:BP";"regulation of nucleic acid-templated transcription";21110;24157;"Brain_-_Hypothalamus_female_4_community"
"16";"query_1";TRUE;8,52580160372113e-07;3958;90;43;0,477777777777778;0,0108640727640222;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21110;4304;"Brain_-_Hypothalamus_female_4_community"
"17";"query_1";TRUE;9,93180735344878e-07;3480;90;40;0,444444444444444;0,0114942528735632;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21110;27647;"Brain_-_Hypothalamus_female_4_community"
"18";"query_1";TRUE;1,10798579810292e-06;436;90;15;0,166666666666667;0,0344036697247706;"GO:0003002";"GO:BP";"regionalization";21110;1472;"Brain_-_Hypothalamus_female_4_community"
"19";"query_1";TRUE;1,25794412186038e-06;4177;90;44;0,488888888888889;0,0105338759875509;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21110;3827;"Brain_-_Hypothalamus_female_4_community"
"20";"query_1";TRUE;1,47026843054121e-06;1415;90;25;0,277777777777778;0,0176678445229682;"GO:0030182";"GO:BP";"neuron differentiation";21110;7062;"Brain_-_Hypothalamus_female_4_community"
"21";"query_1";TRUE;1,60877799161449e-06;249;90;12;0,133333333333333;0,0481927710843374;"GO:0007411";"GO:BP";"axon guidance";21110;2977;"Brain_-_Hypothalamus_female_4_community"
"22";"query_1";TRUE;1,6840952418534e-06;250;90;12;0,133333333333333;0,048;"GO:0097485";"GO:BP";"neuron projection guidance";21110;19719;"Brain_-_Hypothalamus_female_4_community"
