"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;2,52792893705403e-05;220;81;10;0,123456790123457;0,0454545454545455;"GO:0006457";"GO:BP";"protein folding";21110;2254;"Breast_-_Mammary_Tissue_male_5_community"
"2";"query_1";TRUE;2,68806136075948e-05;5894;81;47;0,580246913580247;0,00797421106209705;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21110;22571;"Breast_-_Mammary_Tissue_male_5_community"
"3";"query_1";TRUE;3,83626702265658e-05;4287;81;39;0,481481481481481;0,00909727081875437;"GO:1901362";"GO:BP";"organic cyclic compound biosynthetic process";21110;22388;"Breast_-_Mammary_Tissue_male_5_community"
"4";"query_1";TRUE;3,89524252192988e-05;5521;81;45;0,555555555555556;0,00815069733743887;"GO:0044249";"GO:BP";"cellular biosynthetic process";21110;11577;"Breast_-_Mammary_Tissue_male_5_community"
"5";"query_1";TRUE;4,15225457568381e-05;5969;81;47;0,580246913580247;0,0078740157480315;"GO:0009058";"GO:BP";"biosynthetic process";21110;3310;"Breast_-_Mammary_Tissue_male_5_community"
"6";"query_1";TRUE;0,000128854530806808;4878;81;41;0,506172839506173;0,00840508405084051;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21110;11584;"Breast_-_Mammary_Tissue_male_5_community"
"7";"query_1";TRUE;0,000178469609213779;4129;81;37;0,45679012345679;0,00896100750787115;"GO:0018130";"GO:BP";"heterocycle biosynthetic process";21110;5504;"Breast_-_Mammary_Tissue_male_5_community"
"8";"query_1";TRUE;0,000320326801546415;4824;81;40;0,493827160493827;0,00829187396351575;"GO:0009059";"GO:BP";"macromolecule biosynthetic process";21110;3311;"Breast_-_Mammary_Tissue_male_5_community"
"9";"query_1";TRUE;0,00038802677945308;4055;81;36;0,444444444444444;0,00887792848335388;"GO:0034654";"GO:BP";"nucleobase-containing compound biosynthetic process";21110;9171;"Breast_-_Mammary_Tissue_male_5_community"
"10";"query_1";TRUE;0,00066255389900242;4140;81;36;0,444444444444444;0,00869565217391304;"GO:0019438";"GO:BP";"aromatic compound biosynthetic process";21110;6097;"Breast_-_Mammary_Tissue_male_5_community"
"11";"query_1";TRUE;0,00123079462067714;18;81;4;0,0493827160493827;0,222222222222222;"GO:0002501";"GO:BP";"peptide antigen assembly with MHC protein complex";21110;1042;"Breast_-_Mammary_Tissue_male_5_community"
"12";"query_1";TRUE;0,00123079462067714;18;81;4;0,0493827160493827;0,222222222222222;"GO:0002396";"GO:BP";"MHC protein complex assembly";21110;938;"Breast_-_Mammary_Tissue_male_5_community"
"13";"query_1";TRUE;0,0388927186811738;4061;81;32;0,395061728395062;0,00787983255355824;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21110;5897;"Breast_-_Mammary_Tissue_male_5_community"
"14";"query_1";TRUE;0,0400322626878959;14;81;3;0,037037037037037;0,214285714285714;"GO:0002503";"GO:BP";"peptide antigen assembly with MHC class II protein complex";21110;1044;"Breast_-_Mammary_Tissue_male_5_community"
"15";"query_1";TRUE;0,0400322626878959;14;81;3;0,037037037037037;0,214285714285714;"GO:0002399";"GO:BP";"MHC class II protein complex assembly";21110;941;"Breast_-_Mammary_Tissue_male_5_community"
"16";"query_1";TRUE;0,0448062270013202;2050;81;21;0,259259259259259;0,0102439024390244;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";21110;12431;"Breast_-_Mammary_Tissue_male_5_community"
"17";"query_1";TRUE;0,049901862986995;15;81;3;0,037037037037037;0,2;"GO:0098761";"GO:BP";"cellular response to interleukin-7";21110;19931;"Breast_-_Mammary_Tissue_male_5_community"
"18";"query_1";TRUE;0,049901862986995;15;81;3;0,037037037037037;0,2;"GO:0098760";"GO:BP";"response to interleukin-7";21110;19930;"Breast_-_Mammary_Tissue_male_5_community"
"19";"query_1";TRUE;6,79680429271551e-07;6;81;4;0,0493827160493827;0,666666666666667;"GO:0016602";"GO:CC";"CCAAT-binding factor complex";22122;767;"Breast_-_Mammary_Tissue_male_5_community"
"20";"query_1";TRUE;5,0621969342466e-05;16038;81;77;0,950617283950617;0,00480109739368999;"GO:0043229";"GO:CC";"intracellular organelle";22122;1886;"Breast_-_Mammary_Tissue_male_5_community"
"21";"query_1";TRUE;0,000200714852554551;16842;81;78;0,962962962962963;0,00463127894549341;"GO:0043226";"GO:CC";"organelle";22122;1883;"Breast_-_Mammary_Tissue_male_5_community"
"22";"query_1";TRUE;0,00176913720776365;17883;81;79;0,975308641975309;0,00441760331040653;"GO:0005622";"GO:CC";"intracellular anatomical structure";22122;237;"Breast_-_Mammary_Tissue_male_5_community"
"23";"query_1";TRUE;0,00199302036843584;15705;81;74;0,91358024691358;0,00471187519898122;"GO:0043227";"GO:CC";"membrane-bounded organelle";22122;1884;"Breast_-_Mammary_Tissue_male_5_community"
"24";"query_1";TRUE;0,00319993676335429;6635;81;43;0,530864197530864;0,00648078372268274;"GO:0043233";"GO:CC";"organelle lumen";22122;1890;"Breast_-_Mammary_Tissue_male_5_community"
"25";"query_1";TRUE;0,00319993676335429;6635;81;43;0,530864197530864;0,00648078372268274;"GO:0070013";"GO:CC";"intracellular organelle lumen";22122;2406;"Breast_-_Mammary_Tissue_male_5_community"
"26";"query_1";TRUE;0,00319993676335429;6635;81;43;0,530864197530864;0,00648078372268274;"GO:0031974";"GO:CC";"membrane-enclosed lumen";22122;1224;"Breast_-_Mammary_Tissue_male_5_community"
"27";"query_1";TRUE;0,00846698000387733;17;81;3;0,037037037037037;0,176470588235294;"GO:0042613";"GO:CC";"MHC class II protein complex";22122;1815;"Breast_-_Mammary_Tissue_male_5_community"
"28";"query_1";TRUE;0,0085494594572124;14642;81;70;0,864197530864197;0,00478076765469198;"GO:0043231";"GO:CC";"intracellular membrane-bounded organelle";22122;1888;"Breast_-_Mammary_Tissue_male_5_community"
"29";"query_1";TRUE;0,0247399372433587;24;81;3;0,037037037037037;0,125;"GO:0042611";"GO:CC";"MHC protein complex";22122;1813;"Breast_-_Mammary_Tissue_male_5_community"
"30";"query_1";TRUE;0,0295228660429773;128;81;5;0,0617283950617284;0,0390625;"GO:0140534";"GO:CC";"endoplasmic reticulum protein-containing complex";22122;3558;"Breast_-_Mammary_Tissue_male_5_community"
"31";"query_1";TRUE;0,0339007120860842;523;81;9;0,111111111111111;0,017208413001912;"GO:0005667";"GO:CC";"transcription regulator complex";22122;262;"Breast_-_Mammary_Tissue_male_5_community"
"32";"query_1";TRUE;0,0411878613720657;313;81;7;0,0864197530864197;0,0223642172523962;"GO:0005788";"GO:CC";"endoplasmic reticulum lumen";22122;353;"Breast_-_Mammary_Tissue_male_5_community"
"33";"query_1";TRUE;0,0431539829218445;74;81;4;0,0493827160493827;0,0540540540540541;"GO:0035097";"GO:CC";"histone methyltransferase complex";22122;1595;"Breast_-_Mammary_Tissue_male_5_community"
"34";"query_1";TRUE;0,00770302334126956;2524;77;24;0,311688311688312;0,00950871632329636;"GO:0003677";"GO:MF";"DNA binding";20195;324;"Breast_-_Mammary_Tissue_male_5_community"
"35";"query_1";TRUE;0,0220217866960637;14881;77;71;0,922077922077922;0,00477118473220886;"GO:0005515";"GO:MF";"protein binding";20195;1496;"Breast_-_Mammary_Tissue_male_5_community"
"36";"query_1";TRUE;0,0223587900400378;7455;77;46;0,597402597402597;0,00617035546613011;"GO:1901363";"GO:MF";"heterocyclic compound binding";20195;10974;"Breast_-_Mammary_Tissue_male_5_community"
"37";"query_1";TRUE;0,02970268477103;7529;77;46;0,597402597402597;0,00610970912471776;"GO:0097159";"GO:MF";"organic cyclic compound binding";20195;9161;"Breast_-_Mammary_Tissue_male_5_community"
"38";"query_1";TRUE;0,0402105954443548;5476;77;37;0,480519480519481;0,00675675675675676;"GO:0003676";"GO:MF";"nucleic acid binding";20195;323;"Breast_-_Mammary_Tissue_male_5_community"
"39";"query_1";TRUE;1,10872770634179e-05;4070;60;43;0,716666666666667;0,0105651105651106;"HPA:0160251";"HPA";"endometrium 1; cells in endometrial stroma[≥Low]";11006;307;"Breast_-_Mammary_Tissue_male_5_community"
"40";"query_1";TRUE;0,0011949702111265;3981;60;39;0,65;0,00979653353428787;"HPA:0340461";"HPA";"ovary; ovarian stroma cells[≥Low]";11006;496;"Breast_-_Mammary_Tissue_male_5_community"
"41";"query_1";TRUE;0,00259005014575744;4094;60;39;0,65;0,00952613580850024;"HPA:0600432";"HPA";"tonsil; germinal center cells[≥Medium]";11006;844;"Breast_-_Mammary_Tissue_male_5_community"
"42";"query_1";TRUE;0,00398793173768982;1233;60;19;0,316666666666667;0,0154095701540957;"HPA:0301372";"HPA";"lung; alveolar cells type II[≥Medium]";11006;451;"Breast_-_Mammary_Tissue_male_5_community"
"43";"query_1";TRUE;0,00588115680372987;5144;60;44;0,733333333333333;0,00855365474339036;"HPA:0160052";"HPA";"endometrium 1; glandular cells[≥Medium]";11006;311;"Breast_-_Mammary_Tissue_male_5_community"
"44";"query_1";TRUE;0,00743948875327511;1533;60;21;0,35;0,0136986301369863;"HPA:0301371";"HPA";"lung; alveolar cells type II[≥Low]";11006;450;"Breast_-_Mammary_Tissue_male_5_community"
