"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;9,87042455757731e-05;3;22;3;0,136363636363636;1;"CORUM:60";"CORUM";"Interferon-stimulated gene factor 3 transcription complex ISGF3";3383;28;"Stomach_female_4_community"
"2";"query_1";TRUE;1,01304591702815e-23;2564;93;55;0,591397849462366;0,0214508580343214;"GO:0006357";"GO:BP";"regulation of transcription by RNA polymerase II";21110;2182;"Stomach_female_4_community"
"3";"query_1";TRUE;8,86851875138799e-23;2677;93;55;0,591397849462366;0,0205453866268211;"GO:0006366";"GO:BP";"transcription by RNA polymerase II";21110;2189;"Stomach_female_4_community"
"4";"query_1";TRUE;4,0757699182698e-19;3455;93;57;0,612903225806452;0,0164978292329957;"GO:0006355";"GO:BP";"regulation of DNA-templated transcription";21110;2180;"Stomach_female_4_community"
"5";"query_1";TRUE;4,19682269160381e-19;3457;93;57;0,612903225806452;0,0164882846398612;"GO:1903506";"GO:BP";"regulation of nucleic acid-templated transcription";21110;24157;"Stomach_female_4_community"
"6";"query_1";TRUE;5,86786701621873e-19;3480;93;57;0,612903225806452;0,0163793103448276;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21110;27647;"Stomach_female_4_community"
"7";"query_1";TRUE;2,62378601667586e-18;3585;93;57;0,612903225806452;0,0158995815899582;"GO:0006351";"GO:BP";"DNA-templated transcription";21110;2176;"Stomach_female_4_community"
"8";"query_1";TRUE;2,66081613661712e-18;3586;93;57;0,612903225806452;0,0158951477969883;"GO:0097659";"GO:BP";"nucleic acid-templated transcription";21110;19768;"Stomach_female_4_community"
"9";"query_1";TRUE;3,23639326916911e-18;1257;93;37;0,397849462365591;0,0294351630867144;"GO:0045944";"GO:BP";"positive regulation of transcription by RNA polymerase II";21110;12439;"Stomach_female_4_community"
"10";"query_1";TRUE;4,45465872356493e-18;3623;93;57;0,612903225806452;0,0157328181065415;"GO:0032774";"GO:BP";"RNA biosynthetic process";21110;8240;"Stomach_female_4_community"
"11";"query_1";TRUE;4,53847516344934e-18;3774;93;58;0,623655913978495;0,0153683094859565;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21110;14368;"Stomach_female_4_community"
"12";"query_1";TRUE;1,8564654795162e-16;4061;93;58;0,623655913978495;0,0142821965033243;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21110;5897;"Stomach_female_4_community"
"13";"query_1";TRUE;1,92666558426095e-16;4064;93;58;0,623655913978495;0,0142716535433071;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21110;7513;"Stomach_female_4_community"
"14";"query_1";TRUE;3,62155092952914e-16;3958;93;57;0,612903225806452;0,0144012127337039;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21110;4304;"Stomach_female_4_community"
"15";"query_1";TRUE;7,61540613306183e-16;4177;93;58;0,623655913978495;0,0138855638017716;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21110;3827;"Stomach_female_4_community"
"16";"query_1";TRUE;1,19093413777972e-15;4055;93;57;0,612903225806452;0,0140567200986437;"GO:0034654";"GO:BP";"nucleobase-containing compound biosynthetic process";21110;9171;"Stomach_female_4_community"
"17";"query_1";TRUE;2,8858907801061e-15;4129;93;57;0,612903225806452;0,0138047953499637;"GO:0018130";"GO:BP";"heterocycle biosynthetic process";21110;5504;"Stomach_female_4_community"
"18";"query_1";TRUE;3,28624827342992e-15;4140;93;57;0,612903225806452;0,013768115942029;"GO:0019438";"GO:BP";"aromatic compound biosynthetic process";21110;6097;"Stomach_female_4_community"
"19";"query_1";TRUE;1,39295759387178e-14;1718;93;38;0,408602150537634;0,0221187427240978;"GO:0045893";"GO:BP";"positive regulation of DNA-templated transcription";21110;12393;"Stomach_female_4_community"
"20";"query_1";TRUE;1,39295759387178e-14;1718;93;38;0,408602150537634;0,0221187427240978;"GO:1903508";"GO:BP";"positive regulation of nucleic acid-templated transcription";21110;24159;"Stomach_female_4_community"
