"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,00837224995854586;2;14;2;0,142857142857143;1;"CORUM:4096";"CORUM";"CTNNA1-CTNNB1 complex";3383;1537;"Adipose_-_Subcutaneous_female_4_community"
"2";"query_1";TRUE;0,00145405984894325;129;82;7;0,0853658536585366;0,0542635658914729;"GO:0048706";"GO:BP";"embryonic skeletal system development";21128;13786;"Adipose_-_Subcutaneous_female_4_community"
"3";"query_1";TRUE;0,00204863646457312;1929;80;22;0,275;0,0114048729911871;"GO:0140110";"GO:MF";"transcription regulator activity";20171;10620;"Adipose_-_Subcutaneous_female_4_community"
"4";"query_1";TRUE;0,0101733855580258;1504;80;18;0,225;0,011968085106383;"GO:0000976";"GO:MF";"transcription cis-regulatory region binding";20171;115;"Adipose_-_Subcutaneous_female_4_community"
"5";"query_1";TRUE;0,0103569928362665;1506;80;18;0,225;0,0119521912350598;"GO:0001067";"GO:MF";"transcription regulatory region nucleic acid binding";20171;151;"Adipose_-_Subcutaneous_female_4_community"
"6";"query_1";TRUE;0,0108852866848995;1663;80;19;0,2375;0,0114251352976548;"GO:0003690";"GO:MF";"double-stranded DNA binding";20171;332;"Adipose_-_Subcutaneous_female_4_community"
"7";"query_1";TRUE;0,0168709347660182;1562;80;18;0,225;0,0115236875800256;"GO:1990837";"GO:MF";"sequence-specific double-stranded DNA binding";20171;11223;"Adipose_-_Subcutaneous_female_4_community"
"8";"query_1";TRUE;0,0395574964264509;1667;80;18;0,225;0,0107978404319136;"GO:0043565";"GO:MF";"sequence-specific DNA binding";20171;5843;"Adipose_-_Subcutaneous_female_4_community"
"9";"query_1";TRUE;0,0164645299719933;711;51;12;0,235294117647059;0,0168776371308017;"HPA:0460181";"HPA";"skin 1; cells in granular layer[≥Low]";11006;634;"Adipose_-_Subcutaneous_female_4_community"
"10";"query_1";TRUE;0,0176164759133148;716;51;12;0,235294117647059;0,0167597765363128;"HPA:0461461";"HPA";"skin 1; langerhans cells[≥Low]";11006;661;"Adipose_-_Subcutaneous_female_4_community"
"11";"query_1";TRUE;0,0311559505525431;760;51;12;0,235294117647059;0,0157894736842105;"HPA:0461411";"HPA";"skin 1; cells in spinous layer[≥Low]";11006;637;"Adipose_-_Subcutaneous_female_4_community"
"12";"query_1";TRUE;0,0443430453536791;789;51;12;0,235294117647059;0,0152091254752852;"HPA:0471461";"HPA";"skin 2; langerhans cells[≥Low]";11006;710;"Adipose_-_Subcutaneous_female_4_community"
"13";"query_1";TRUE;0,0336713673906946;289;70;8;0,114285714285714;0,027681660899654;"MIRNA:hsa-miR-548am-3p";"MIRNA";"hsa-miR-548am-3p";14850;1688;"Adipose_-_Subcutaneous_female_4_community"
"14";"query_1";TRUE;0,0336713673906946;289;70;8;0,114285714285714;0,027681660899654;"MIRNA:hsa-miR-548ah-3p";"MIRNA";"hsa-miR-548ah-3p";14850;1681;"Adipose_-_Subcutaneous_female_4_community"
"15";"query_1";TRUE;0,0344977014320782;290;70;8;0,114285714285714;0,0275862068965517;"MIRNA:hsa-miR-548j-3p";"MIRNA";"hsa-miR-548j-3p";14850;1731;"Adipose_-_Subcutaneous_female_4_community"
"16";"query_1";TRUE;0,0353408690655272;291;70;8;0,114285714285714;0,0274914089347079;"MIRNA:hsa-miR-548ae-3p";"MIRNA";"hsa-miR-548ae-3p";14850;1678;"Adipose_-_Subcutaneous_female_4_community"
"17";"query_1";TRUE;0,0353408690655272;291;70;8;0,114285714285714;0,0274914089347079;"MIRNA:hsa-miR-548aj-3p";"MIRNA";"hsa-miR-548aj-3p";14850;1684;"Adipose_-_Subcutaneous_female_4_community"
