"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000196715854475134;32;76;5;0,0657894736842105;0,15625;"GO:0048384";"GO:BP";"retinoic acid receptor signaling pathway";21128;13539;"Adrenal_Gland_female_7_community"
"2";"query_1";TRUE;0,00272298966455653;302;76;9;0,118421052631579;0,0298013245033113;"GO:0030522";"GO:BP";"intracellular receptor signaling pathway";21128;7237;"Adrenal_Gland_female_7_community"
"3";"query_1";TRUE;0,0130760006611815;195;76;7;0,0921052631578947;0,0358974358974359;"GO:0009755";"GO:BP";"hormone-mediated signaling pathway";21128;3746;"Adrenal_Gland_female_7_community"
"4";"query_1";TRUE;0,0411884469705914;45;76;4;0,0526315789473684;0,0888888888888889;"GO:0042789";"GO:BP";"mRNA transcription by RNA polymerase II";21128;11002;"Adrenal_Gland_female_7_community"
"5";"query_1";TRUE;0,00130739663862798;255;82;8;0,0975609756097561;0,0313725490196078;"GO:0090575";"GO:CC";"RNA polymerase II transcription regulator complex";22112;2870;"Adrenal_Gland_female_7_community"
"6";"query_1";TRUE;0,00629252459393486;761;82;12;0,146341463414634;0,0157687253613666;"GO:0031966";"GO:CC";"mitochondrial membrane";22112;1220;"Adrenal_Gland_female_7_community"
"7";"query_1";TRUE;0,0118399620574018;812;82;12;0,146341463414634;0,0147783251231527;"GO:0005740";"GO:CC";"mitochondrial envelope";22112;311;"Adrenal_Gland_female_7_community"
"8";"query_1";TRUE;0,0158594406426871;1268;82;15;0,182926829268293;0,0118296529968454;"GO:0031975";"GO:CC";"envelope";22112;1228;"Adrenal_Gland_female_7_community"
"9";"query_1";TRUE;0,0158594406426871;1268;82;15;0,182926829268293;0,0118296529968454;"GO:0031967";"GO:CC";"organelle envelope";22112;1221;"Adrenal_Gland_female_7_community"
"10";"query_1";TRUE;0,0296122845470838;507;82;9;0,109756097560976;0,0177514792899408;"GO:0005743";"GO:CC";"mitochondrial inner membrane";22112;314;"Adrenal_Gland_female_7_community"
"11";"query_1";TRUE;0,0338157995933379;516;82;9;0,109756097560976;0,0174418604651163;"GO:0005667";"GO:CC";"transcription regulator complex";22112;262;"Adrenal_Gland_female_7_community"
"12";"query_1";TRUE;1,1862309736804e-08;52;77;8;0,103896103896104;0,153846153846154;"GO:0004879";"GO:MF";"nuclear receptor activity";20171;1149;"Adrenal_Gland_female_7_community"
"13";"query_1";TRUE;1,1862309736804e-08;52;77;8;0,103896103896104;0,153846153846154;"GO:0098531";"GO:MF";"ligand-activated transcription factor activity";20171;9263;"Adrenal_Gland_female_7_community"
"14";"query_1";TRUE;0,000616821677981531;6;77;3;0,038961038961039;0,5;"GO:0044323";"GO:MF";"retinoic acid-responsive element binding";20171;6058;"Adrenal_Gland_female_7_community"
"15";"query_1";TRUE;0,00900037967321709;837;77;13;0,168831168831169;0,015531660692951;"GO:0008270";"GO:MF";"zinc ion binding";20171;1644;"Adrenal_Gland_female_7_community"
"16";"query_1";TRUE;0,0250256762734326;3;77;2;0,025974025974026;0,666666666666667;"GO:0070644";"GO:MF";"vitamin D response element binding";20171;8813;"Adrenal_Gland_female_7_community"
