"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,000408917588813916;3;30;3;0,1;1;"CORUM:60";"CORUM";"Interferon-stimulated gene factor 3 transcription complex ISGF3";3383;28;"Artery_-_Aorta_female_5_community"
"2";"query_1";TRUE;0,0493767988492804;2;30;2;0,0666666666666667;1;"CORUM:7589";"CORUM";"APP(AICD)-FOXO4 complex";3383;2916;"Artery_-_Aorta_female_5_community"
"3";"query_1";TRUE;0,0493767988492804;2;30;2;0,0666666666666667;1;"CORUM:7587";"CORUM";"APP(AICD)-FOXO3 complex";3383;2914;"Artery_-_Aorta_female_5_community"
"4";"query_1";TRUE;0,0493767988492804;2;30;2;0,0666666666666667;1;"CORUM:7588";"CORUM";"APP(AICD)-FOXO1 complex";3383;2915;"Artery_-_Aorta_female_5_community"
"5";"query_1";TRUE;6,48900486292367e-26;1242;85;42;0,494117647058824;0,0338164251207729;"GO:0045944";"GO:BP";"positive regulation of transcription by RNA polymerase II";21128;12513;"Artery_-_Aorta_female_5_community"
"6";"query_1";TRUE;2,01334950740918e-25;4097;85;64;0,752941176470588;0,0156211862338296;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21128;5932;"Artery_-_Aorta_female_5_community"
"7";"query_1";TRUE;1,40620162634149e-23;2051;85;48;0,564705882352941;0,0234032179424671;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";21128;12505;"Artery_-_Aorta_female_5_community"
"8";"query_1";TRUE;2,02953390057789e-23;1843;85;46;0,541176470588235;0,0249593054801953;"GO:0051254";"GO:BP";"positive regulation of RNA metabolic process";21128;14453;"Artery_-_Aorta_female_5_community"
"9";"query_1";TRUE;4,11451129228326e-23;3783;85;60;0,705882352941177;0,0158604282315623;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21128;14451;"Artery_-_Aorta_female_5_community"
"10";"query_1";TRUE;4,23000950574788e-23;3622;85;59;0,694117647058824;0,0162893429044727;"GO:0032774";"GO:BP";"RNA biosynthetic process";21128;8281;"Artery_-_Aorta_female_5_community"
"11";"query_1";TRUE;5,05618770515583e-23;3965;85;61;0,717647058823529;0,0153846153846154;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21128;4326;"Artery_-_Aorta_female_5_community"
"12";"query_1";TRUE;5,79676414537145e-23;4890;85;66;0,776470588235294;0,0134969325153374;"GO:0044271";"GO:BP";"cellular nitrogen compound biosynthetic process";21128;11656;"Artery_-_Aorta_female_5_community"
"13";"query_1";TRUE;1,60887546506883e-22;2674;85;52;0,611764705882353;0,0194465220643231;"GO:0006366";"GO:BP";"transcription by RNA polymerase II";21128;2202;"Artery_-_Aorta_female_5_community"
"14";"query_1";TRUE;2,60543494217886e-22;3584;85;58;0,682352941176471;0,0161830357142857;"GO:0006351";"GO:BP";"DNA-templated transcription";21128;2189;"Artery_-_Aorta_female_5_community"
"15";"query_1";TRUE;2,64429487130559e-22;3585;85;58;0,682352941176471;0,0161785216178522;"GO:0097659";"GO:BP";"nucleic acid-templated transcription";21128;19903;"Artery_-_Aorta_female_5_community"
"16";"query_1";TRUE;2,80913924774903e-22;4822;85;65;0,764705882352941;0,0134798838656159;"GO:0009059";"GO:BP";"macromolecule biosynthetic process";21128;3327;"Artery_-_Aorta_female_5_community"
"17";"query_1";TRUE;2,81494353039695e-22;2572;85;51;0,6;0,0198289269051322;"GO:0006357";"GO:BP";"regulation of transcription by RNA polymerase II";21128;2195;"Artery_-_Aorta_female_5_community"
"18";"query_1";TRUE;4,55255829517187e-22;4124;85;61;0,717647058823529;0,0147914645974782;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21128;7552;"Artery_-_Aorta_female_5_community"
"19";"query_1";TRUE;1,1022014384473e-21;4190;85;61;0,717647058823529;0,0145584725536993;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21128;3843;"Artery_-_Aorta_female_5_community"
"20";"query_1";TRUE;1,437232058841e-21;1703;85;43;0,505882352941176;0,0252495596007046;"GO:1903508";"GO:BP";"positive regulation of nucleic acid-templated transcription";21128;24288;"Artery_-_Aorta_female_5_community"
"21";"query_1";TRUE;1,437232058841e-21;1703;85;43;0,505882352941176;0,0252495596007046;"GO:0045893";"GO:BP";"positive regulation of DNA-templated transcription";21128;12467;"Artery_-_Aorta_female_5_community"
"22";"query_1";TRUE;1,69310036666273e-21;1710;85;43;0,505882352941176;0,0251461988304094;"GO:1902680";"GO:BP";"positive regulation of RNA biosynthetic process";21128;23603;"Artery_-_Aorta_female_5_community"
"23";"query_1";TRUE;3,47850643463069e-21;5653;85;68;0,8;0,012029011144525;"GO:0031323";"GO:BP";"regulation of cellular metabolic process";21128;7549;"Artery_-_Aorta_female_5_community"
"24";"query_1";TRUE;4,76496773325102e-21;3465;85;56;0,658823529411765;0,0161616161616162;"GO:0006355";"GO:BP";"regulation of DNA-templated transcription";21128;2193;"Artery_-_Aorta_female_5_community"
"25";"query_1";TRUE;4,90695107402512e-21;3467;85;56;0,658823529411765;0,0161522930487453;"GO:1903506";"GO:BP";"regulation of nucleic acid-templated transcription";21128;24286;"Artery_-_Aorta_female_5_community"
"26";"query_1";TRUE;6,8684284102085e-21;3490;85;56;0,658823529411765;0,0160458452722063;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21128;27809;"Artery_-_Aorta_female_5_community"
"27";"query_1";TRUE;7,56732498240772e-21;5724;85;68;0,8;0,0118798043326345;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21128;14399;"Artery_-_Aorta_female_5_community"
"28";"query_1";TRUE;2,30258141370503e-20;4072;85;59;0,694117647058824;0,0144891944990177;"GO:0034654";"GO:BP";"nucleobase-containing compound biosynthetic process";21128;9218;"Artery_-_Aorta_female_5_community"
"29";"query_1";TRUE;4,10426565617709e-20;5882;85;68;0,8;0,0115606936416185;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21128;18924;"Artery_-_Aorta_female_5_community"
"30";"query_1";TRUE;6,3275971188471e-20;4150;85;59;0,694117647058824;0,0142168674698795;"GO:0018130";"GO:BP";"heterocycle biosynthetic process";21128;5537;"Artery_-_Aorta_female_5_community"
"31";"query_1";TRUE;6,5511226554606e-20;5494;85;66;0,776470588235294;0,0120131052056789;"GO:0010468";"GO:BP";"regulation of gene expression";21128;4271;"Artery_-_Aorta_female_5_community"
"32";"query_1";TRUE;7,28429726987023e-20;4161;85;59;0,694117647058824;0,0141792838260034;"GO:0019438";"GO:BP";"aromatic compound biosynthetic process";21128;6132;"Artery_-_Aorta_female_5_community"
"33";"query_1";TRUE;1,62286620677516e-19;5793;85;67;0,788235294117647;0,0115656827205248;"GO:0044249";"GO:BP";"cellular biosynthetic process";21128;11645;"Artery_-_Aorta_female_5_community"
"34";"query_1";TRUE;2,09789952753055e-19;1931;85;43;0,505882352941176;0,0222682547902641;"GO:0010557";"GO:BP";"positive regulation of macromolecule biosynthetic process";21128;4327;"Artery_-_Aorta_female_5_community"
"35";"query_1";TRUE;3,97303387329756e-19;3154;85;52;0,611764705882353;0,0164870006341154;"GO:0051173";"GO:BP";"positive regulation of nitrogen compound metabolic process";21128;14401;"Artery_-_Aorta_female_5_community"
"36";"query_1";TRUE;4,26400291369202e-19;5886;85;67;0,788235294117647;0,0113829425756031;"GO:1901576";"GO:BP";"organic substance biosynthetic process";21128;22687;"Artery_-_Aorta_female_5_community"
"37";"query_1";TRUE;4,53666563298248e-19;4307;85;59;0,694117647058824;0,0136986301369863;"GO:1901362";"GO:BP";"organic cyclic compound biosynthetic process";21128;22499;"Artery_-_Aorta_female_5_community"
"38";"query_1";TRUE;1,03604662928935e-18;5973;85;67;0,788235294117647;0,0112171438138289;"GO:0009058";"GO:BP";"biosynthetic process";21128;3326;"Artery_-_Aorta_female_5_community"
"39";"query_1";TRUE;1,20330219978777e-18;3540;85;54;0,635294117647059;0,0152542372881356;"GO:0010604";"GO:BP";"positive regulation of macromolecule metabolic process";21128;4369;"Artery_-_Aorta_female_5_community"
"40";"query_1";TRUE;1,53725938055758e-18;3097;85;51;0,6;0,0164675492412012;"GO:0031325";"GO:BP";"positive regulation of cellular metabolic process";21128;7551;"Artery_-_Aorta_female_5_community"
"41";"query_1";TRUE;1,7066880190277e-18;2037;85;43;0,505882352941176;0,0211094747177221;"GO:0031328";"GO:BP";"positive regulation of cellular biosynthetic process";21128;7554;"Artery_-_Aorta_female_5_community"
"42";"query_1";TRUE;3,64610948238721e-18;2077;85;43;0,505882352941176;0,0207029369282619;"GO:0009891";"GO:BP";"positive regulation of biosynthetic process";21128;3845;"Artery_-_Aorta_female_5_community"
"43";"query_1";TRUE;5,38863935498954e-17;6851;85;69;0,811764705882353;0,0100715224054883;"GO:0060255";"GO:BP";"regulation of macromolecule metabolic process";21128;15399;"Artery_-_Aorta_female_5_community"
"44";"query_1";TRUE;7,36540745927543e-17;3857;85;54;0,635294117647059;0,0140005185377236;"GO:0009893";"GO:BP";"positive regulation of metabolic process";21128;3847;"Artery_-_Aorta_female_5_community"
"45";"query_1";TRUE;5,44902167369264e-15;7386;85;69;0,811764705882353;0,00934199837530463;"GO:0019222";"GO:BP";"regulation of metabolic process";21128;5935;"Artery_-_Aorta_female_5_community"
"46";"query_1";TRUE;5,48070822729952e-15;1537;85;35;0,411764705882353;0,0227716330513988;"GO:0010558";"GO:BP";"negative regulation of macromolecule biosynthetic process";21128;4328;"Artery_-_Aorta_female_5_community"
"47";"query_1";TRUE;1,79603051046066e-14;1596;85;35;0,411764705882353;0,0219298245614035;"GO:0031327";"GO:BP";"negative regulation of cellular biosynthetic process";21128;7553;"Artery_-_Aorta_female_5_community"
"48";"query_1";TRUE;3,28455336731751e-14;1627;85;35;0,411764705882353;0,0215119852489244;"GO:0009890";"GO:BP";"negative regulation of biosynthetic process";21128;3844;"Artery_-_Aorta_female_5_community"
"49";"query_1";TRUE;3,583222753225e-14;1311;85;32;0,376470588235294;0,0244088482074752;"GO:0045892";"GO:BP";"negative regulation of DNA-templated transcription";21128;12466;"Artery_-_Aorta_female_5_community"
"50";"query_1";TRUE;3,74515626330699e-14;1313;85;32;0,376470588235294;0,0243716679360244;"GO:1903507";"GO:BP";"negative regulation of nucleic acid-templated transcription";21128;24287;"Artery_-_Aorta_female_5_community"
"51";"query_1";TRUE;5,09234852831378e-14;1327;85;32;0,376470588235294;0,0241145440844009;"GO:1902679";"GO:BP";"negative regulation of RNA biosynthetic process";21128;23602;"Artery_-_Aorta_female_5_community"
"52";"query_1";TRUE;5,14223076881927e-13;1438;85;32;0,376470588235294;0,0222531293463143;"GO:0051253";"GO:BP";"negative regulation of RNA metabolic process";21128;14452;"Artery_-_Aorta_female_5_community"
"53";"query_1";TRUE;7,14520565350671e-13;1565;85;33;0,388235294117647;0,0210862619808307;"GO:0045934";"GO:BP";"negative regulation of nucleobase-containing compound metabolic process";21128;12504;"Artery_-_Aorta_female_5_community"
"54";"query_1";TRUE;7,96607952925415e-13;962;85;27;0,317647058823529;0,0280665280665281;"GO:0000122";"GO:BP";"negative regulation of transcription by RNA polymerase II";21128;51;"Artery_-_Aorta_female_5_community"
"55";"query_1";TRUE;2,16521518186749e-12;2244;85;38;0,447058823529412;0,0169340463458111;"GO:0031324";"GO:BP";"negative regulation of cellular metabolic process";21128;7550;"Artery_-_Aorta_female_5_community"
"56";"query_1";TRUE;2,03532641463365e-11;5657;85;57;0,670588235294118;0,0100760120205056;"GO:0048522";"GO:BP";"positive regulation of cellular process";21128;13626;"Artery_-_Aorta_female_5_community"
"57";"query_1";TRUE;2,1714240926049e-11;8753;85;70;0,823529411764706;0,00799725808294299;"GO:0034641";"GO:BP";"cellular nitrogen compound metabolic process";21128;9210;"Artery_-_Aorta_female_5_community"
"58";"query_1";TRUE;2,29371261087471e-11;6990;85;63;0,741176470588235;0,00901287553648069;"GO:0016070";"GO:BP";"RNA metabolic process";21128;5254;"Artery_-_Aorta_female_5_community"
"59";"query_1";TRUE;4,02766095108537e-11;7545;85;65;0,764705882352941;0,00861497680583168;"GO:0090304";"GO:BP";"nucleic acid metabolic process";21128;19342;"Artery_-_Aorta_female_5_community"
"60";"query_1";TRUE;6,97282590066526e-11;8125;85;67;0,788235294117647;0,00824615384615385;"GO:0006139";"GO:BP";"nucleobase-containing compound metabolic process";21128;2036;"Artery_-_Aorta_female_5_community"
"61";"query_1";TRUE;1,24616718332217e-10;2401;85;37;0,435294117647059;0,0154102457309454;"GO:0051172";"GO:BP";"negative regulation of nitrogen compound metabolic process";21128;14400;"Artery_-_Aorta_female_5_community"
"62";"query_1";TRUE;1,27928122882269e-10;9017;85;70;0,823529411764706;0,00776311411777753;"GO:0010467";"GO:BP";"gene expression";21128;4270;"Artery_-_Aorta_female_5_community"
"63";"query_1";TRUE;1,68877884680321e-10;6348;85;59;0,694117647058824;0,009294265910523;"GO:0048518";"GO:BP";"positive regulation of biological process";21128;13622;"Artery_-_Aorta_female_5_community"
"64";"query_1";TRUE;2,24509538014859e-10;8296;85;67;0,788235294117647;0,00807618129218901;"GO:0046483";"GO:BP";"heterocycle metabolic process";21128;12974;"Artery_-_Aorta_female_5_community"
"65";"query_1";TRUE;2,45683796042368e-10;1791;85;32;0,376470588235294;0,0178671133445003;"GO:0006952";"GO:BP";"defense response";21128;2657;"Artery_-_Aorta_female_5_community"
