"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;4,941625689936e-06;32;82;6;0,0731707317073171;0,1875;"GO:0048384";"GO:BP";"retinoic acid receptor signaling pathway";21128;13539;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"2";"query_1";TRUE;2,78426391218444e-05;113;82;8;0,0975609756097561;0,0707964601769911;"GO:0032526";"GO:BP";"response to retinoic acid";21128;8085;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"3";"query_1";TRUE;0,000551373610613332;302;82;10;0,121951219512195;0,033112582781457;"GO:0030522";"GO:BP";"intracellular receptor signaling pathway";21128;7237;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"4";"query_1";TRUE;0,00188863151672973;195;82;8;0,0975609756097561;0,041025641025641;"GO:0009755";"GO:BP";"hormone-mediated signaling pathway";21128;3746;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"5";"query_1";TRUE;0,0139542054553275;68;82;5;0,0609756097560976;0,0735294117647059;"GO:0071300";"GO:BP";"cellular response to retinoic acid";21128;17627;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"6";"query_1";TRUE;0,0402429605418852;598;82;11;0,134146341463415;0,0183946488294314;"GO:0071396";"GO:BP";"cellular response to lipid";21128;17720;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"7";"query_1";TRUE;0,0402429605418852;598;82;11;0,134146341463415;0,0183946488294314;"GO:0032870";"GO:BP";"cellular response to hormone stimulus";21128;8335;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"8";"query_1";TRUE;6,66900744872876e-12;52;85;10;0,117647058823529;0,192307692307692;"GO:0004879";"GO:MF";"nuclear receptor activity";20171;1149;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"9";"query_1";TRUE;6,66900744872876e-12;52;85;10;0,117647058823529;0,192307692307692;"GO:0098531";"GO:MF";"ligand-activated transcription factor activity";20171;9263;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"10";"query_1";TRUE;2,0839452618319e-06;6;85;4;0,0470588235294118;0,666666666666667;"GO:0044323";"GO:MF";"retinoic acid-responsive element binding";20171;6058;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"11";"query_1";TRUE;0,00161239401119739;6079;85;46;0,541176470588235;0,00756703405165323;"GO:0043167";"GO:MF";"ion binding";20171;5781;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"12";"query_1";TRUE;0,00165331857519506;25;85;4;0,0470588235294118;0,16;"GO:0003707";"GO:MF";"nuclear steroid receptor activity";20171;339;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"13";"query_1";TRUE;0,00470337416110606;837;85;14;0,164705882352941;0,016726403823178;"GO:0008270";"GO:MF";"zinc ion binding";20171;1644;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"14";"query_1";TRUE;0,027963871210507;1115;85;15;0,176470588235294;0,0134529147982063;"GO:0046914";"GO:MF";"transition metal ion binding";20171;6313;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"15";"query_1";TRUE;0,0298306940206876;4275;85;34;0,4;0,00795321637426901;"GO:0046872";"GO:MF";"metal ion binding";20171;6302;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"16";"query_1";TRUE;0,0468463221660433;4368;85;34;0,4;0,00778388278388278;"GO:0043169";"GO:MF";"cation binding";20171;5783;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
"17";"query_1";TRUE;4,04516646183121e-12;41;59;10;0,169491525423729;0,24390243902439;"REAC:R-HSA-383280";"REAC";"Nuclear Receptor transcription pathway";10777;1530;"Brain_-_Nucleus_accumbens_(basal_ganglia)_female_8_community"
