"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0498907452204139;3;26;2;0,0769230769230769;0,666666666666667;"CORUM:6646";"CORUM";"SMAD2-SMAD4-WWTR1 complex";3383;2278;"Heart_-_Left_Ventricle_female_6_community"
"2";"query_1";TRUE;7,50728840376403e-06;2401;92;32;0,347826086956522;0,0133277800916285;"GO:0051172";"GO:BP";"negative regulation of nitrogen compound metabolic process";21128;14400;"Heart_-_Left_Ventricle_female_6_community"
"3";"query_1";TRUE;1,43635185850097e-05;1537;92;25;0,271739130434783;0,0162654521795706;"GO:0010558";"GO:BP";"negative regulation of macromolecule biosynthetic process";21128;4328;"Heart_-_Left_Ventricle_female_6_community"
"4";"query_1";TRUE;3,06154346895445e-05;1596;92;25;0,271739130434783;0,0156641604010025;"GO:0031327";"GO:BP";"negative regulation of cellular biosynthetic process";21128;7553;"Heart_-_Left_Ventricle_female_6_community"
"5";"query_1";TRUE;4,49205537687334e-05;1627;92;25;0,271739130434783;0,0153657037492317;"GO:0009890";"GO:BP";"negative regulation of biosynthetic process";21128;3844;"Heart_-_Left_Ventricle_female_6_community"
"6";"query_1";TRUE;0,000123804448289767;46;92;6;0,0652173913043478;0,130434782608696;"GO:0097028";"GO:BP";"dendritic cell differentiation";21128;19618;"Heart_-_Left_Ventricle_female_6_community"
"7";"query_1";TRUE;0,000263530655863476;11139;92;73;0,793478260869565;0,00655355058802406;"GO:0050794";"GO:BP";"regulation of cellular process";21128;14091;"Heart_-_Left_Ventricle_female_6_community"
"8";"query_1";TRUE;0,000430156268886955;2244;92;28;0,304347826086957;0,0124777183600713;"GO:0031324";"GO:BP";"negative regulation of cellular metabolic process";21128;7550;"Heart_-_Left_Ventricle_female_6_community"
"9";"query_1";TRUE;0,000501434828755591;1327;92;21;0,228260869565217;0,0158251695553881;"GO:1902679";"GO:BP";"negative regulation of RNA biosynthetic process";21128;23602;"Heart_-_Left_Ventricle_female_6_community"
"10";"query_1";TRUE;0,000530518659414912;12378;92;77;0,83695652173913;0,00622071417030215;"GO:0050789";"GO:BP";"regulation of biological process";21128;14087;"Heart_-_Left_Ventricle_female_6_community"
"11";"query_1";TRUE;0,000598725490828433;3360;92;35;0,380434782608696;0,0104166666666667;"GO:0010605";"GO:BP";"negative regulation of macromolecule metabolic process";21128;4370;"Heart_-_Left_Ventricle_female_6_community"
"12";"query_1";TRUE;0,00112746181635429;3783;92;37;0,402173913043478;0,00978059740946339;"GO:0051252";"GO:BP";"regulation of RNA metabolic process";21128;14451;"Heart_-_Left_Ventricle_female_6_community"
"13";"query_1";TRUE;0,00188381305868185;1438;92;21;0,228260869565217;0,0146036161335188;"GO:0051253";"GO:BP";"negative regulation of RNA metabolic process";21128;14452;"Heart_-_Left_Ventricle_female_6_community"
"14";"query_1";TRUE;0,00195915545203224;4755;92;42;0,456521739130435;0,00883280757097792;"GO:0048523";"GO:BP";"negative regulation of cellular process";21128;13627;"Heart_-_Left_Ventricle_female_6_community"
"15";"query_1";TRUE;0,00278158194813564;1473;92;21;0,228260869565217;0,0142566191446029;"GO:0048699";"GO:BP";"generation of neurons";21128;13779;"Heart_-_Left_Ventricle_female_6_community"
"16";"query_1";TRUE;0,00280734673485063;3579;92;35;0,380434782608696;0,00977926795194188;"GO:0009892";"GO:BP";"negative regulation of metabolic process";21128;3846;"Heart_-_Left_Ventricle_female_6_community"
"17";"query_1";TRUE;0,00380641447905875;1502;92;21;0,228260869565217;0,0139813581890812;"GO:0016477";"GO:BP";"cell migration";21128;5389;"Heart_-_Left_Ventricle_female_6_community"
"18";"query_1";TRUE;0,00401152565543794;1130;92;18;0,195652173913043;0,015929203539823;"GO:0048666";"GO:BP";"neuron development";21128;13747;"Heart_-_Left_Ventricle_female_6_community"
"19";"query_1";TRUE;0,00519969975856362;1401;92;20;0,217391304347826;0,0142755174875089;"GO:0030182";"GO:BP";"neuron differentiation";21128;7098;"Heart_-_Left_Ventricle_female_6_community"
"20";"query_1";TRUE;0,00593573068405247;12926;92;77;0,83695652173913;0,00595698591985146;"GO:0065007";"GO:BP";"biological regulation";21128;16927;"Heart_-_Left_Ventricle_female_6_community"
"21";"query_1";TRUE;0,00732148374867105;1565;92;21;0,228260869565217;0,0134185303514377;"GO:0045934";"GO:BP";"negative regulation of nucleobase-containing compound metabolic process";21128;12504;"Heart_-_Left_Ventricle_female_6_community"
"22";"query_1";TRUE;0,00835901081807738;4097;92;37;0,402173913043478;0,00903099829143275;"GO:0019219";"GO:BP";"regulation of nucleobase-containing compound metabolic process";21128;5932;"Heart_-_Left_Ventricle_female_6_community"
"23";"query_1";TRUE;0,00895482410605659;4287;92;38;0,41304347826087;0,00886400746442734;"GO:0030154";"GO:BP";"cell differentiation";21128;7086;"Heart_-_Left_Ventricle_female_6_community"
"24";"query_1";TRUE;0,00965551764259132;962;92;16;0,173913043478261;0,0166320166320166;"GO:0000122";"GO:BP";"negative regulation of transcription by RNA polymerase II";21128;51;"Heart_-_Left_Ventricle_female_6_community"
"25";"query_1";TRUE;0,0103553152790599;4312;92;38;0,41304347826087;0,0088126159554731;"GO:0048869";"GO:BP";"cellular developmental process";21128;13935;"Heart_-_Left_Ventricle_female_6_community"
"26";"query_1";TRUE;0,0109159967459677;3965;92;36;0,391304347826087;0,00907944514501892;"GO:0010556";"GO:BP";"regulation of macromolecule biosynthetic process";21128;4326;"Heart_-_Left_Ventricle_female_6_community"
"27";"query_1";TRUE;0,0112100589834083;3622;92;34;0,369565217391304;0,0093870789618995;"GO:0032774";"GO:BP";"RNA biosynthetic process";21128;8281;"Heart_-_Left_Ventricle_female_6_community"
"28";"query_1";TRUE;0,0143083196330069;3490;92;33;0,358695652173913;0,00945558739255014;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21128;27809;"Heart_-_Left_Ventricle_female_6_community"
"29";"query_1";TRUE;0,0171037842884048;5724;92;45;0,489130434782609;0,00786163522012579;"GO:0051171";"GO:BP";"regulation of nitrogen compound metabolic process";21128;14399;"Heart_-_Left_Ventricle_female_6_community"
"30";"query_1";TRUE;0,0175855078501547;5927;92;46;0,5;0,00776109330183904;"GO:0048519";"GO:BP";"negative regulation of biological process";21128;13623;"Heart_-_Left_Ventricle_female_6_community"
"31";"query_1";TRUE;0,0196370573153974;62;92;5;0,0543478260869565;0,0806451612903226;"GO:0032655";"GO:BP";"regulation of interleukin-12 production";21128;8167;"Heart_-_Left_Ventricle_female_6_community"
"32";"query_1";TRUE;0,0196370573153974;62;92;5;0,0543478260869565;0,0806451612903226;"GO:0032615";"GO:BP";"interleukin-12 production";21128;8128;"Heart_-_Left_Ventricle_female_6_community"
"33";"query_1";TRUE;0,0228087067511137;4822;92;40;0,434782608695652;0,00829531314807134;"GO:0009059";"GO:BP";"macromolecule biosynthetic process";21128;3327;"Heart_-_Left_Ventricle_female_6_community"
"34";"query_1";TRUE;0,0237963627269018;1688;92;21;0,228260869565217;0,0124407582938389;"GO:0022008";"GO:BP";"neurogenesis";21128;6958;"Heart_-_Left_Ventricle_female_6_community"
"35";"query_1";TRUE;0,0246696097345808;399;92;10;0,108695652173913;0,025062656641604;"GO:0050900";"GO:BP";"leukocyte migration";21128;14178;"Heart_-_Left_Ventricle_female_6_community"
"36";"query_1";TRUE;0,0262877564263224;1699;92;21;0,228260869565217;0,0123602118893467;"GO:0048870";"GO:BP";"cell motility";21128;13936;"Heart_-_Left_Ventricle_female_6_community"
"37";"query_1";TRUE;0,0275265029899886;4124;92;36;0,391304347826087;0,00872938894277401;"GO:0031326";"GO:BP";"regulation of cellular biosynthetic process";21128;7552;"Heart_-_Left_Ventricle_female_6_community"
"38";"query_1";TRUE;0,0282356383882811;242;92;8;0,0869565217391304;0,0330578512396694;"GO:0097529";"GO:BP";"myeloid leukocyte migration";21128;19870;"Heart_-_Left_Ventricle_female_6_community"
"39";"query_1";TRUE;0,031671097419725;1311;92;18;0,195652173913043;0,0137299771167048;"GO:0045892";"GO:BP";"negative regulation of DNA-templated transcription";21128;12466;"Heart_-_Left_Ventricle_female_6_community"
"40";"query_1";TRUE;0,0323325998137897;1313;92;18;0,195652173913043;0,0137090632140137;"GO:1903507";"GO:BP";"negative regulation of nucleic acid-templated transcription";21128;24287;"Heart_-_Left_Ventricle_female_6_community"
"41";"query_1";TRUE;0,0338274888212871;11;92;3;0,0326086956521739;0,272727272727273;"GO:2001198";"GO:BP";"regulation of dendritic cell differentiation";21128;27856;"Heart_-_Left_Ventricle_female_6_community"
"42";"query_1";TRUE;0,0368152064902193;5882;92;45;0,489130434782609;0,00765045902754165;"GO:0080090";"GO:BP";"regulation of primary metabolic process";21128;18924;"Heart_-_Left_Ventricle_female_6_community"
"43";"query_1";TRUE;0,0397194862962591;4190;92;36;0,391304347826087;0,00859188544152745;"GO:0009889";"GO:BP";"regulation of biosynthetic process";21128;3843;"Heart_-_Left_Ventricle_female_6_community"
"44";"query_1";TRUE;0,0101518427310896;322;93;9;0,0967741935483871;0,0279503105590062;"GO:0001227";"GO:MF";"DNA-binding transcription repressor activity, RNA polymerase II-specific";20171;184;"Heart_-_Left_Ventricle_female_6_community"
"45";"query_1";TRUE;0,0111911770989973;326;93;9;0,0967741935483871;0,0276073619631902;"GO:0001217";"GO:MF";"DNA-binding transcription repressor activity";20171;180;"Heart_-_Left_Ventricle_female_6_community"
"46";"query_1";TRUE;0,043660044803787;885;66;15;0,227272727272727;0,0169491525423729;"HPA:0461441";"HPA";"skin 1; fibrohistiocytic cells[≥Low]";11006;652;"Heart_-_Left_Ventricle_female_6_community"
