"";"query";"significant";"p_value";"term_size";"query_size";"intersection_size";"precision";"recall";"term_id";"source";"term_name";"effective_domain_size";"source_order";"set"
"1";"query_1";TRUE;0,0498761803610755;3;25;2;0,08;0,666666666666667;"CORUM:60";"CORUM";"Interferon-stimulated gene factor 3 transcription complex ISGF3";3383;28;"Lung_male_6_community"
"2";"query_1";TRUE;7,74379483330669e-36;1242;90;51;0,566666666666667;0,0410628019323672;"GO:0045944";"GO:BP";"positive regulation of transcription by RNA polymerase II";21128;12513;"Lung_male_6_community"
"3";"query_1";TRUE;1,59948906631885e-31;1703;90;53;0,588888888888889;0,0311215502055197;"GO:0045893";"GO:BP";"positive regulation of DNA-templated transcription";21128;12467;"Lung_male_6_community"
"4";"query_1";TRUE;1,59948906631885e-31;1703;90;53;0,588888888888889;0,0311215502055197;"GO:1903508";"GO:BP";"positive regulation of nucleic acid-templated transcription";21128;24288;"Lung_male_6_community"
"5";"query_1";TRUE;1,9687639107326e-31;1710;90;53;0,588888888888889;0,0309941520467836;"GO:1902680";"GO:BP";"positive regulation of RNA biosynthetic process";21128;23603;"Lung_male_6_community"
"6";"query_1";TRUE;5,47963879979825e-31;1843;90;54;0,6;0,0293000542593597;"GO:0051254";"GO:BP";"positive regulation of RNA metabolic process";21128;14453;"Lung_male_6_community"
"7";"query_1";TRUE;2,74977433645998e-30;2572;90;60;0,666666666666667;0,0233281493001555;"GO:0006357";"GO:BP";"regulation of transcription by RNA polymerase II";21128;2195;"Lung_male_6_community"
"8";"query_1";TRUE;8,9213204532663e-30;2051;90;55;0,611111111111111;0,0268161872257435;"GO:0045935";"GO:BP";"positive regulation of nucleobase-containing compound metabolic process";21128;12505;"Lung_male_6_community"
"9";"query_1";TRUE;2,47661038747774e-29;2674;90;60;0,666666666666667;0,0224382946896036;"GO:0006366";"GO:BP";"transcription by RNA polymerase II";21128;2202;"Lung_male_6_community"
"10";"query_1";TRUE;8,9650181575344e-29;1931;90;53;0,588888888888889;0,0274469186949767;"GO:0010557";"GO:BP";"positive regulation of macromolecule biosynthetic process";21128;4327;"Lung_male_6_community"
"11";"query_1";TRUE;1,29394234758624e-27;2037;90;53;0,588888888888889;0,0260186548846343;"GO:0031328";"GO:BP";"positive regulation of cellular biosynthetic process";21128;7554;"Lung_male_6_community"
"12";"query_1";TRUE;2,64232273821893e-27;3465;90;64;0,711111111111111;0,0184704184704185;"GO:0006355";"GO:BP";"regulation of DNA-templated transcription";21128;2193;"Lung_male_6_community"
"13";"query_1";TRUE;2,73475032045194e-27;3467;90;64;0,711111111111111;0,0184597634842804;"GO:1903506";"GO:BP";"regulation of nucleic acid-templated transcription";21128;24286;"Lung_male_6_community"
"14";"query_1";TRUE;3,40631715658523e-27;2077;90;53;0,588888888888889;0,0255175734232065;"GO:0009891";"GO:BP";"positive regulation of biosynthetic process";21128;3845;"Lung_male_6_community"
"15";"query_1";TRUE;4,0546121555787e-27;3490;90;64;0,711111111111111;0,0183381088825215;"GO:2001141";"GO:BP";"regulation of RNA biosynthetic process";21128;27809;"Lung_male_6_community"
"16";"query_1";TRUE;1,96856275457987e-26;3584;90;64;0,711111111111111;0,0178571428571429;"GO:0006351";"GO:BP";"DNA-templated transcription";21128;2189;"Lung_male_6_community"
